No,ANCHOR,TENANT,Site ID DMT,Project ID Actual,Tower Owner,Site ID Tenant,Site Name Owner,Site Name Actual,Address,City,Province,Longitude,Latitude,Site Source,Last Survey Audit,NPA,Name Of Tenant,Count Number Of Tenant,Tenant Start Lease,Tenant End Lease,Tenant Rental Price/Month,Class Of Service,Site Type,longitude_decimal,latitude_decimal
25,,TENANT,BYW-07-006,17XL03C0198,MITRATEL,2543449,MUNCAR_TAMBAREJO,MUNCAR_TAMBAREJO,Rt 01 Rw 09 Desa Tapanrejo  Desa Tapanrejo Kec. Muncar Banyuwangi Banyuwangi 60235,Banyuwangi,Jawa Timur,11428464.0,-843549.0,ORGANIC,2099-12-31,NO,XL,2,2022-06-07 00:00:00,2027-06-06 00:00:00,9666666.0,Full Maintenance,GREENFIELD,114.28464,-8.43549
26,ANCHOR,TENANT,BYW-07-007,11TS01B0449,MITRATEL,BWI090,Karang Bendo Rogojampi,Karang Bendo Rogojampi,"Jl,Jajag Surat RT,02 RW,02 Desa Karangbendo Kec,Rogojampi Ka,Banyuwangi",Banyuwangi,Jawa Timur,11430652.0,-829824.0,ORGANIC,2099-12-31,NO,TSEL,3,2022-01-01 00:00:00,2033-02-24 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,114.30652,-8.29824
27,,TENANT,BYW-07-007,15XL11C0027,MITRATEL,2543075,KARANG BENDO ROGOJAMPI,KARANG BENDO ROGOJAMPI,"Jl,Jajag Surat RT,02 RW,02 Desa Karangbendo Kec,Rogojampi Ka,Banyuwangi",Banyuwangi,Jawa Timur,11430652.0,-829824.0,ORGANIC,2099-12-31,NO,XL,3,2022-04-20 00:00:00,2032-04-19 00:00:00,12083333.0,Full Maintenance,GREENFIELD,114.30652,-8.29824
28,,TENANT,BYW-07-007,19HC07C0459,MITRATEL,134595,Karang Bendo Rogojampi,Karang Bendo Rogojampi,"Jl,Jajag Surat RT,02 RW,02 Desa Karangbendo Kec,Rogojampi Ka,Banyuwangi",Banyuwangi,Jawa Timur,11430652.0,-829824.0,ORGANIC,2099-12-31,NO,IOH,3,2022-10-01 00:00:00,2031-10-03 00:00:00,11571628.0,Full Maintenance,GREENFIELD,114.30652,-8.29824
30,ANCHOR,,GSK-07-002,10TF02B0345,MITRATEL,GRS002MT,Hulaan,Hulaan,"Jl. Raya Hulaan Rt.17/07, Ds. Sido Jangkung, Kec. Menganti, Kab. Gresik",Gresik,Jawa Timur,11258149.0,-727814.0,ORGANIC,2023-03-09,NO,FLEXI,4,2010-12-01 00:00:00,2020-11-30 00:00:00,13750000.0,No Maintenance,GREENFIELD,112.58149,-7.27814
31,,,GSK-07-002,14HC09C0001,MITRATEL,630294,Hulaan,Hulaan,Jl. Raya Hulaan Rt.17/07  Ds. Sido Jangkung Kec. Menganti Gresik Gresik 60235,Gresik,Jawa Timur,11258149.0,-727814.0,ORGANIC,2099-12-31,NO,IOH,4,2022-04-01 00:00:00,2026-10-14 00:00:00,11037400.0,No Maintenance,GREENFIELD,112.58149,-7.27814
32,,TENANT,GSK-07-002,16TS05C0198,MITRATEL,GSK010,HulaanDMT,HulaanDMT,Jl. Raya Hulaan Rt.17/07  Ds. Sido Jangkung Kec. Menganti Gresik Gresik 60235,Gresik,Jawa Timur,11258149.0,-727814.0,ORGANIC,2099-12-31,NO,TSEL,4,2022-01-01 00:00:00,2026-06-06 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.58149,-7.27814
33,,TENANT,GSK-07-002,17XL03C0190,MITRATEL,2543252,HULAAN,HULAAN,Jl. Raya Hulaan Rt.17/07  Ds. Sido Jangkung Kec. Menganti Gresik Gresik 60235,Gresik,Jawa Timur,11258149.0,-727814.0,ORGANIC,2099-12-31,NO,XL,4,2022-06-07 00:00:00,2027-06-06 00:00:00,9666666.0,Full Maintenance,GREENFIELD,112.58149,-7.27814
34,,TENANT,GSK-07-002,17IS10C0006,MITRATEL,20GSK100,PALEMPERTIWI,PALEMPERTIWI,Jl. Raya Hulaan Rt.17/07  Ds. Sido Jangkung Kec. Menganti Gresik Gresik 60235,Gresik,Jawa Timur,11258149.0,-727814.0,ORGANIC,2099-12-31,NO,IOH,4,2022-01-01 00:00:00,2023-01-06 00:00:00,11872768.0,Full Maintenance,GREENFIELD,112.58149,-7.27814
35,,TENANT,GSK-07-002,18BS09C0004,MITRATEL,ZSBU_1139,Hulaan,Hulaan,"Jl. Raya Hulaan Rt.17/07, Ds. Sido Jangkung, Kec. Menganti, Kab. Gresik",Gresik,Jawa Timur,11258149.0,-727814.0,ORGANIC,2099-12-31,NO,IBS,4,2022-01-01 00:00:00,2029-01-24 00:00:00,7500000.0,No Maintenance,GREENFIELD,112.58149,-7.27814
39,ANCHOR,TENANT,GSK-07-004,11TS01B0544,MITRATEL,GSK068,Sekar Gadung (Ant. Dukun - Karanggeneng 2),Sekar Gadung (Ant. Dukun - Kar,"Ds, Madumulyo RT 03/ RW 01, Kec, Dukun, Gresik",Gresik,Jawa Timur,11244854.0,-699956.0,ORGANIC,2099-12-31,NO,TSEL,2,2022-01-01 00:00:00,2033-01-20 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.44854,-6.99956
40,,TENANT,GSK-07-004,21IS03C0092,MITRATEL,20GSK303,LOWAYU_GSK,LOWAYU_GSK,"Ds, Madumulyo RT 03/ RW 01, Kec, Dukun, Gresik",Gresik,Jawa Timur,11244854.0,-699956.0,ORGANIC,2099-12-31,NO,IOH,2,2022-01-01 00:00:00,2031-07-06 00:00:00,12000000.0,Minimum Maintenance,GREENFIELD,112.44854,-6.99956
43,ANCHOR,TENANT,JMR-07-001,11TS03B2301,MITRATEL,JBR097,Desa Andongsari,Desa Andongsari,Desa Andongsari Rt03/Rw05  Desa Andongsari Kec. Ambulu Jember Jember 68172,Jember,Jawa Timur,113624198.0,-8359102.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-05-15 00:00:00,2026-05-14 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,113.624198,-8.359102
44,,TENANT,JMR-07-001,17XL02C0234,MITRATEL,2543798,DESA_ANDONGSARI,DESA_ANDONGSARI,Desa Andongsari Rt03/Rw05  Desa Andongsari Kec. Ambulu Jember Jember 68172,Jember,Jawa Timur,113624198.0,-8359102.0,ORGANIC,2099-12-31,NO,XL,3,2022-05-22 00:00:00,2027-05-21 00:00:00,9666666.0,Full Maintenance,GREENFIELD,113.624198,-8.359102
45,,TENANT,JMR-07-001,19IS05C0492,MITRATEL,20JBR149,ANDONGSARI,ANDONGSARI,Desa Andongsari Rt03/Rw05  Desa Andongsari Kec. Ambulu Jember Jember 68172,Jember,Jawa Timur,113624198.0,-8359102.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2029-10-21 00:00:00,12139226.0,Full Maintenance,GREENFIELD,113.624198,-8.359102
46,,,JMR-07-001,19HC07C0505,MITRATEL,134581,Desa Andongsari,ANDONGSARI,Desa Andongsari Rt03/Rw05  Desa Andongsari Kec. Ambulu Jember Jember 68172,Jember,Jawa Timur,113624198.0,-8359102.0,ORGANIC,2099-12-31,NO,IOH,3,2022-10-01 00:00:00,2032-02-05 00:00:00,11571628.0,No Maintenance,GREENFIELD,113.624198,-8.359102
47,ANCHOR,TENANT,JMR-07-002,11TS03B2303,MITRATEL,JBR080,Dukuhhmencek (split jember3_1),Dukuhmencek (split jember3_1),Dukuh Mencek Rt03/Rw03  Desa Serut Kec. Panti Jember Jember 68153,Jember,Jawa Timur,11364208.0,-816561.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-05-15 00:00:00,2026-05-14 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,113.64208,-8.16561
48,,TENANT,JMR-07-002,17XL02C0406,MITRATEL,2543360,MENCEK_SERUT,MENCEK_SERUT,Dukuh Mencek Rt03/Rw03  Desa Serut Kec. Panti Jember Jember 68153,Jember,Jawa Timur,11364208.0,-816561.0,ORGANIC,2099-12-31,NO,XL,3,2022-05-22 00:00:00,2027-05-21 00:00:00,9666666.0,Full Maintenance,GREENFIELD,113.64208,-8.16561
49,,TENANT,JMR-07-002,19HC07C0504,MITRATEL,134584,Dukuhmencek (split jember3_1),Dukuhmencek (split jember3_1),Dukuh Mencek Rt03/Rw03  Desa Serut Kec. Panti Jember Jember 68153,Jember,Jawa Timur,11364208.0,-816561.0,ORGANIC,2099-12-31,NO,IOH,3,2022-10-01 00:00:00,2032-02-05 00:00:00,11571628.0,Full Maintenance,GREENFIELD,113.64208,-8.16561
50,ANCHOR,TENANT,JMR-07-003,11TS03B2302,MITRATEL,JBR086,Keting,Keting,Ds. Jombang Rt01/Rw022  Ds. Jombang Kec. Jombang Jember Jember 61419,Jember,Jawa Timur,1133393.0,-82548.0,ORGANIC,2099-12-31,NO,TSEL,2,2021-05-15 00:00:00,2026-05-14 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,113.3393,-8.2548
51,,TENANT,JMR-07-003,17HC05C0003,MITRATEL,132830,KETING,KETING,Ds. Jombang Rt01/Rw022  Ds. Jombang Kec. Jombang Jember Jember 61419,Jember,Jawa Timur,1133393.0,-82548.0,ORGANIC,2099-12-31,NO,IOH,2,2022-04-01 00:00:00,2023-09-10 00:00:00,12273807.0,Full Maintenance,GREENFIELD,113.3393,-8.2548
52,ANCHOR,TENANT,KDR2-07-001,11TS01B0473,MITRATEL,KED097,Atr pesantren-Ds.Bangkok,Atr pesantren-Ds.Bangkok,"Jl. Tempurejo Ii Rt 21 Rw 06  Kel.Tempurejo Kec.Pesantren  Kediri, Kota 64138","Kediri, Kota",Jawa Timur,11208035.0,-784417.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-07-31 00:00:00,2026-07-30 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,112.08035,-7.84417
53,,TENANT,KDR2-07-001,19IS05C0500,MITRATEL,20KED072,BANGKOK_KDR,BANGKOK_KDR,"Jl. Tempurejo Ii Rt 21 Rw 06  Kel.Tempurejo Kec.Pesantren  Kediri, Kota 64138","Kediri, Kota",Jawa Timur,11208035.0,-784417.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2029-10-27 00:00:00,12139226.0,Full Maintenance,GREENFIELD,112.08035,-7.84417
54,,TENANT,KDR2-07-001,21XL02C0995,MITRATEL,JAW-JI-KDR-4314,TEMPUREJO_PESANTREN_KEDIRI,TEMPUREJO_PESANTREN_KEDIRI,"Jl. Tempurejo Ii Rt 21 Rw 06  Kel.Tempurejo Kec.Pesantren  Kediri, Kota 64138","Kediri, Kota",Jawa Timur,11208035.0,-784417.0,ORGANIC,2099-12-31,NO,XL,3,2022-06-13 00:00:00,2031-06-12 00:00:00,12083333.0,Minimum Maintenance,GREENFIELD,112.08035,-7.84417
55,ANCHOR,TENANT,KDR2-07-002,11TS01B0453,MITRATEL,KED082,Ngampel (Split Merican_2),Ngampel (Split Merican_2),"Jl, Bunga Gg,5 Rt,016 Rw,003 Kel,Ngampel Kec,Mojoroto kota Kediri","Kediri, Kota",Jawa Timur,11199461.0,-779494.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-07-31 00:00:00,2026-07-30 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,111.99461,-7.79494
56,,TENANT,KDR2-07-002,11IS03C3102,MITRATEL,20KED019,NGAMPEL,NGAMPEL,"Jl, Bunga Gg,5 Rt,016 Rw,003 Kel,Ngampel Kec,Mojoroto kota Kediri","Kediri, Kota",Jawa Timur,11199461.0,-779494.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2031-09-11 00:00:00,10700000.0,Full Maintenance,GREENFIELD,111.99461,-7.79494
57,,,KDR2-07-002,13HM07C0450,MITRATEL,631054,Ngampel (Split Merican_2),Ngampel (Split Merican_2),"Jl, Bunga Gg,5 Rt,016 Rw,003 Kel,Ngampel Kec,Mojoroto kota Kediri","Kediri, Kota",Jawa Timur,11199461.0,-779494.0,ORGANIC,2099-12-31,NO,IOH,3,2022-04-01 00:00:00,2027-04-22 00:00:00,10750000.0,No Maintenance,GREENFIELD,111.99461,-7.79494
58,,TENANT,KDR2-07-002,20XL04C0041,MITRATEL,JAW-JI-KDR-4289,MOJOROTO_NGAMPEL,Ngampel (Split Merican_2),"Jl, Bunga Gg,5 Rt,016 Rw,003 Kel,Ngampel Kec,Mojoroto kota Kediri","Kediri, Kota",Jawa Timur,11199461.0,-779494.0,ORGANIC,2099-12-31,NO,XL,3,2022-09-26 00:00:00,2027-09-25 00:00:00,12083333.0,Full Maintenance,GREENFIELD,111.99461,-7.79494
71,ANCHOR,TENANT,JBG-07-002,11TS07B5608,MITRATEL,JMB068,Karangtengah Kandangan (Ds Kemiri),Karangtengah Kandangan ,Kedungbokor RT 002 RW 001  Genukwatu Ngoro Jombang Jombang 60235,Jombang,Jawa Timur,11224871.0,-771311.0,ORGANIC,2099-12-31,NO,TSEL,4,2022-01-01 00:00:00,2032-09-11 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.24871,-7.71311
72,,TENANT,JBG-07-002,14IS11C0048,MITRATEL,20JMB030,DOKO BLITAR,Karangtengah Kandangan ,Kedungbokor RT 002 RW 001  Genukwatu Ngoro Jombang Jombang 60235,Jombang,Jawa Timur,11224871.0,-771311.0,ORGANIC,2099-12-31,NO,IOH,4,2022-01-01 00:00:00,2030-05-09 00:00:00,12107442.0,Full Maintenance,GREENFIELD,112.24871,-7.71311
73,,TENANT,JBG-07-002,17XL02C0221,MITRATEL,2543624,SUPRIYADI_DOKO,SUPRIYADI_DOKO,Kedungbokor RT 002 RW 001  Genukwatu Ngoro Jombang Jombang 60235,Jombang,Jawa Timur,11224871.0,-771311.0,ORGANIC,2099-12-31,NO,XL,4,2022-05-22 00:00:00,2027-05-21 00:00:00,9666666.0,Full Maintenance,GREENFIELD,112.24871,-7.71311
74,,,JBG-07-002,19HC07C0509,MITRATEL,134550,Karangtengah Kandangan,Karangtengah Kandangan,Kedungbokor RT 002 RW 001  Genukwatu Ngoro Jombang Jombang 60235,Jombang,Jawa Timur,11224871.0,-771311.0,ORGANIC,2099-12-31,NO,IOH,4,2022-10-01 00:00:00,2031-12-19 00:00:00,11571628.0,No Maintenance,GREENFIELD,112.24871,-7.71311
75,,TENANT,JBG-07-002,20SF02C0140,MITRATEL,ZSBY_2235,Karangtengah Kandangan,Karangtengah Kandangan,Kedungbokor RT 002 RW 001  Genukwatu Ngoro Jombang Jombang 60235,Jombang,Jawa Timur,11224871.0,-771311.0,ORGANIC,2099-12-31,NO,SMART,4,2022-01-01 00:00:00,2026-11-27 00:00:00,10000000.0,Full Maintenance,GREENFIELD,112.24871,-7.71311
76,,,KNR-07-003,11TS07B5603,MITRATEL,BLR064,Tambakrejo (Selatan Pasiraman),Tambakrejo (Selatan Pasiraman),Dusun Ringin Rejo Rt 01 Rw 09  Desa Kali Grenjeng Kec. Wonotirto Blitar Blitar 66173,Blitar,Jawa Timur,1121311.0,-828609.0,ORGANIC,2099-12-31,NO,TSEL,0,2022-01-01 00:00:00,2032-09-06 00:00:00,14700000.0,No Maintenance,GREENFIELD,112.1311,-8.28609
77,ANCHOR,,KPN-07-001,10HC06B0197,MITRATEL,132104,Kalisongo,KALISONGO,Dusun Condeang Rt.005/ Rw.04  Desa Kalisongo Dau Malang Malang 65151,Malang,Jawa Timur,11257758.0,-796029.0,ORGANIC,2099-12-31,NO,IOH,3,2022-04-01 00:00:00,2023-03-27 00:00:00,12273807.0,No Maintenance,GREENFIELD,112.57758,-7.96029
78,,TENANT,KPN-07-001,11IS03C3059,MITRATEL,20BTU162,KALISONGO,KALISONGO,Dusun Condeang Rt.005/ Rw.04  Desa Kalisongo Dau Malang Malang 65151,Malang,Jawa Timur,11257758.0,-796029.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2031-09-15 00:00:00,10700000.0,Full Maintenance,GREENFIELD,112.57758,-7.96029
79,,TENANT,KPN-07-001,16TS02C0010,MITRATEL,MLG88,Kalisongo,Kalisongo,Dusun Condeang Rt.005/ Rw.04  Desa Kalisongo Dau Malang Malang 65151,Malang,Jawa Timur,11257758.0,-796029.0,ORGANIC,2099-12-31,NO,TSEL,3,2022-01-01 00:00:00,2026-05-10 00:00:00,14700000.0,Minimum Maintenance,GREENFIELD,112.57758,-7.96029
80,,TENANT,KPN-07-001,23XL07C0134,MITRATEL,JAW-JI-KPN-4469,LOKANDEN_LOR_KALISONGO,KALISONGO,Dusun Condeang Rt.005/ Rw.04 Desa Kalisongo Dau Malang,Malang,Jawa Timur,11257758.0,-796029.0,ORGANIC,2099-12-31,NO,XL,3,2023-09-08 00:00:00,2036-09-07 00:00:00,12083333.0,Minimum Maintenance,GREENFIELD,112.57758,-7.96029
82,ANCHOR,TENANT,KPN-07-002,11TS01B0562,MITRATEL,BTU125,Balesari,Balesari,Dsn. Balesari Rt01/Rw04  Ds. Balesari Kec. Ngajum Malang Malang 65164,Malang,Jawa Timur,11252173.0,-802787.0,ORGANIC,2099-12-31,NO,TSEL,4,2021-06-15 00:00:00,2026-06-14 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,112.52173,-8.02787
83,,TENANT,KPN-07-002,18BS10C0033,MITRATEL,JI00288,Balesari,Balesari,Dsn. Balesari Rt01/Rw04  Ds. Balesari Kec. Ngajum Malang Malang 65164,Malang,Jawa Timur,11252173.0,-802787.0,ORGANIC,2099-12-31,NO,IBS,4,2022-01-01 00:00:00,2029-03-16 00:00:00,7500000.0,No Maintenance,GREENFIELD,112.52173,-8.02787
84,,TENANT,KPN-07-002,23XL01C0423,MITRATEL,JAW-JI-KPN-4441,Balesari,BALESARI_NGAJUM,Dsn. Balesari Rt01/Rw04  Ds. Balesari Kec. Ngajum Malang,Malang,Jawa Timur,11252173.0,-802787.0,ORGANIC,2099-12-31,NO,XL,4,2023-02-12 00:00:00,2036-02-11 00:00:00,12083333.0,Minimum Maintenance,GREENFIELD,112.52173,-8.02787
85,,TENANT,KPN-07-002,24IS12C0184,MITRATEL,16BTU0372,BALESARI_MT,Balesari,Dsn. Balesari Rt01/Rw04  Ds. Balesari Kec. Ngajum Malang Malang 65164,Malang,Jawa Timur,1125217.0,-80279.0,ORGANIC,2099-12-31,NO,IOH,4,00:00:00,00:00:00,0.0,Minimum Maintenance,GREENFIELD,112.5217,-8.0279
87,ANCHOR,TENANT,KPN-07-003,11TS01B0558,MITRATEL,BTU128,Gajahrejo (Sindurejo Sumbermanjing),Gajahrejo (Sindurejo Sumberman,Dsn. Krajan Rt01/Rw01  Ds. Gajahrejo Kec. Gedangan Malang Malang 65178,Malang,Jawa Timur,1126554.0,-832847.0,ORGANIC,2099-12-31,NO,TSEL,1,2021-06-15 00:00:00,2026-06-14 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,112.6554,-8.32847
88,ANCHOR,TENANT,KPN-07-004,11TS01B0554,MITRATEL,BTU140,Senggreng,Senggreng,Desa Senggreng RT 07 RW 08  Kel Senggreng Kec. Sumberpucung Malang Malang 65165,Malang,Jawa Timur,11251464.0,-816884.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-06-15 00:00:00,2026-06-14 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,112.51464,-8.16884
89,,TENANT,KPN-07-004,14IS11C0037,MITRATEL,20BTU183,SENGGRENG,Senggreng,Desa Senggreng RT 07 RW 08  Kel Senggreng Kec. Sumberpucung Malang Malang 65165,Malang,Jawa Timur,11251464.0,-816884.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2030-05-11 00:00:00,12107442.0,Full Maintenance,GREENFIELD,112.51464,-8.16884
90,,TENANT,KPN-07-004,17XL02C0205,MITRATEL,2543378,SENGGRENG,SENGGRENG,Desa Senggreng RT 07 RW 08  Kel Senggreng Kec. Sumberpucung Malang Malang 65165,Malang,Jawa Timur,11251464.0,-816884.0,ORGANIC,2099-12-31,NO,XL,3,2022-04-28 00:00:00,2027-04-27 00:00:00,12166666.0,Full Maintenance,GREENFIELD,112.51464,-8.16884
91,,,KPN-07-004,18HC11C0076,MITRATEL,139431,Senggreng,Senggreng,Desa Senggreng RT 07 RW 08  Kel Senggreng Kec. Sumberpucung Malang Malang 65165,Malang,Jawa Timur,11251464.0,-816884.0,ORGANIC,2099-12-31,NO,IOH,3,2022-04-01 00:00:00,2031-03-03 00:00:00,12095982.0,No Maintenance,GREENFIELD,112.51464,-8.16884
94,ANCHOR,TENANT,KRS-07-002,11TS03B2862,MITRATEL,PBO064,Sambirampak Kidul ex. Sidomulyo Kotaanyar ,Sambirampak Kidul ex. Sidomuly,Dusun 1 RT.05/RW.02  Desa Sambirampak Kidul Kec. Kotaanyar Probolinggo Probolinggo 67293,Probolinggo,Jawa Timur,11354852.0,-77796.0,ORGANIC,2099-12-31,NO,TSEL,2,2021-06-30 00:00:00,2026-06-29 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,113.54852,-7.7796
95,,TENANT,KRS-07-002,21IS06C0036,MITRATEL,20PRO096,SAMBIRAMPAK_PRO,SAMBIRAMPAK_PRO,Dusun 1 RT.05/RW.02  Desa Sambirampak Kidul Kec. Kotaanyar Probolinggo Probolinggo 67293,Probolinggo,Jawa Timur,11354852.0,-77796.0,ORGANIC,2099-12-31,NO,IOH,2,2022-01-01 00:00:00,2031-11-05 00:00:00,12000000.0,Full Maintenance,GREENFIELD,113.54852,-7.7796
96,ANCHOR,TENANT,KRS-07-003,11TS03B2300,MITRATEL,PBO057,Sebaung (PG Sebaung Probolinggo),Sebaung (PG Sebaung Probolingg,"Ds, Sukun RT 002 RW 001 Desa Pendil Kec, Banyuanyar Kab, Probolinggo",Probolinggo,Jawa Timur,11331954.0,-782033.0,ORGANIC,2099-12-31,NO,TSEL,1,2021-06-30 00:00:00,2026-06-29 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,113.31954,-7.82033
